Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Nahuel Losada,ar ARG,GK,32-210,29.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Sasha Marcich,ar ARG,DF,27-168,26.8,1,20,7,35,0.75,0.26,0.05,0.14,22,1,0,0,1.3,1.3,0.06,-0.3,-0.3
Agustín Cardozo,ar ARG,MF,28-167,25.1,0,10,4,40,0.4,0.16,0,0,23.6,0,0,0,0.4,0.4,0.04,-0.4,-0.4
Eduardo Salvio,ar ARG,FW,35-123,23.6,4,41,18,43.9,1.74,0.76,0.05,0.11,20.5,0,2,2,4.8,3.2,0.08,-0.8,-1.2
Carlos Izquierdoz,ar ARG,DF,37-010,24.3,0,19,4,21.1,0.78,0.16,0,0,12.3,0,0,0,1.2,1.2,0.06,-1.2,-1.2
Marcelino Moreno,ar ARG,MF,31-141,23.2,4,47,18,38.3,2.02,0.78,0.09,0.22,19.6,6,0,0,3.9,3.9,0.08,0.1,0.1
Walter Bou,ar ARG,FW,32-080,17.5,6,43,16,37.2,2.46,0.92,0.12,0.31,15.7,0,1,1,5.4,4.6,0.11,0.6,0.4
Gonzalo Pérez,uy URU,"DF,MF",24-313,16.8,0,3,0,0,0.18,0,0,,21.4,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Ramiro Carrera,ar ARG,"MF,FW",32-020,15.3,1,28,9,32.1,1.83,0.59,0.04,0.11,20.7,1,0,0,1.6,1.6,0.06,-0.6,-0.6
Ezequiel Muñoz,ar ARG,DF,35-036,15.4,0,11,1,9.1,0.72,0.07,0,0,12.2,0,0,0,0.5,0.5,0.04,-0.5,-0.5
Agustín Medina,,MF,,14.8,0,11,5,45.5,0.74,0.34,0,0,28,0,0,0,0.3,0.3,0.02,-0.3,-0.3
Ronaldo Dejesús,py PAR,DF,24-206,13,0,19,2,10.5,1.46,0.15,0,0,12.5,0,0,0,1.1,1.1,0.06,-1.1,-1.1
Alexis Segovia,ar ARG,FW,21-151,10.3,1,14,4,28.6,1.36,0.39,0.07,0.25,24.4,0,0,0,0.6,0.6,0.04,0.4,0.4
Armando Méndez,uy URU,DF,29-227,9.6,0,4,3,75,0.42,0.31,0,0,14.6,0,0,0,0.4,0.4,0.09,-0.4,-0.4
Jose Domínguez,py PAR,DF,29-116,8.8,3,5,3,60,0.57,0.34,0.6,1,11.5,0,0,0,0.7,0.7,0.13,2.3,2.3
Dylan Aquino,ar ARG,"FW,MF",20-162,11.5,0,29,7,24.1,2.52,0.61,0,0,21.4,2,0,0,2.1,2.1,0.07,-2.1,-2.1
Franco Watson,ar ARG,"MF,FW",25-316,6.2,1,11,5,45.5,1.78,0.81,0.09,0.2,16,1,0,0,1.5,1.5,0.14,-0.5,-0.5
Rodrigo Castillo,ar ARG,FW,26-260,7.7,7,18,10,55.6,2.32,1.29,0.39,0.7,10.7,0,0,0,5.6,5.6,0.33,1.4,1.4
Juan Ramírez,ar ARG,"MF,FW",32-172,5.6,0,4,0,0,0.71,0,0,,21.2,0,0,0,0.2,0.2,0.04,-0.2,-0.2
Felipe Peña,ar ARG,MF,24-222,5.3,0,7,0,0,1.32,0,0,,14.7,0,0,0,0.2,0.2,0.04,-0.2,-0.2
Alexis Canelo,ar ARG,"FW,MF",33-283,7,1,20,5,25,2.87,0.72,0.05,0.2,14.7,0,0,0,3.1,3.1,0.17,-2.1,-2.1
Nicolás Morgantini,ar ARG,DF,31-063,4.3,0,1,1,100,0.23,0.23,0,0,30.4,0,0,0,0,0,0.03,0,0
Juan Cáceres,py PAR,DF,25-165,3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Bruno Cabrera,ar ARG,FW,22-145,2.7,0,3,3,100,1.1,1.1,0,0,16.9,0,0,0,0.2,0.2,0.07,-0.2,-0.2
Luciano Romero,ar ARG,DF,19-314,2.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Franco Orozco,ar ARG,FW,23-308,2.3,0,4,2,50,1.72,0.86,0,0,19.3,0,0,0,0.5,0.5,0.11,-0.5,-0.5
Lautaro Acosta,ar ARG,"FW,MF",37-244,1.6,1,1,1,100,0.62,0.62,1,1,10.6,0,0,0,0.1,0.1,0.14,0.9,0.9
Lautaro Morales,ar ARG,GK,25-332,1.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Facundo Sánchez,ar ARG,MF,20-098,1.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Leonel Cardozo,ar ARG,DF,21-308,1.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Tobías Quiroz,ar ARG,DF,20-235,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Agustín Rodríguez,ar ARG,"MF,FW",21-195,0.9,0,2,0,0,2.34,0,0,,17.7,0,0,0,0.3,0.3,0.17,-0.3,-0.3
Óctavio Ontivero,ar ARG,DF,19-307,0.8,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Thomás de Martis,ar ARG,FW,17-140,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Mariano Gerez,ar ARG,MF,19-298,0.1,0,1,0,0,8.18,0,0,,21.2,0,0,0,0,0,0.02,0,0
Luciano Boggio,it ITA,MF,26-248,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Elías Brito,ar ARG,DF,20-099,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Jeremías Chavero,ar ARG,FW,19-167,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Squad Total,,,29.8,31,30,376,128,34,12.13,4.13,0.07,0.21,18.1,11,3,3,35.5,33.2,0.09,-5.5,-6.2
Opponent Total,,,27.9,31,23,378,111,29.4,12.19,3.58,0.06,0.19,20.1,13,2,4,32.8,29.7,0.08,-9.8,-8.7
